City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,New Norfolk,AU,-42.7826,147.0587,60.93,83,97,1.01,overcast clouds
1,Hanamaki,JP,39.3833,141.1167,45.54,94,95,1.92,overcast clouds
2,Rio De Janeiro,BR,-22.9028,-43.2075,84.0,72,0,4.61,clear sky
3,Muros,ES,42.7762,-9.0603,67.08,54,7,16.49,clear sky
4,Abha,SA,18.2164,42.5053,66.45,68,40,11.5,light rain
5,Pangnirtung,CA,66.1451,-65.7125,28.4,80,100,2.3,light snow
6,Port Alfred,ZA,-33.5906,26.891,59.18,89,5,1.01,clear sky
7,Atuona,PF,-9.8,-139.0333,78.67,77,58,13.71,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,76.41,72,34,5.97,scattered clouds
9,Namibe,AO,-15.1961,12.1522,74.14,76,9,15.55,clear sky
10,Padang,ID,-0.9492,100.3543,75.25,89,97,2.68,overcast clouds
11,Nouadhibou,MR,20.931,-17.0347,71.58,73,0,21.85,dust
12,Hermanus,ZA,-34.4187,19.2345,62.8,84,0,10.74,clear sky
13,Ancud,CL,-41.8697,-73.8203,55.56,79,72,3.89,broken clouds
14,Albany,US,42.6001,-73.9662,66.16,31,13,1.99,few clouds
15,Chokurdakh,RU,70.6333,147.9167,15.3,96,38,7.81,scattered clouds
16,Pevek,RU,69.7008,170.3133,-3.33,92,49,5.53,scattered clouds
17,Port Blair,IN,11.6667,92.75,83.57,73,57,4.05,broken clouds
18,Airai,TL,-8.9266,125.4092,59.22,89,64,3.51,broken clouds
19,Half Moon Bay,US,37.4636,-122.4286,65.14,61,0,3.44,clear sky
20,Bluff,NZ,-46.6,168.3333,44.8,91,20,8.75,few clouds
21,Asau,RO,46.4333,26.4,59.92,71,89,2.91,overcast clouds
22,Zermatt,CH,46.0213,7.7491,54.77,72,96,4.41,overcast clouds
23,Yellowknife,CA,62.456,-114.3525,37.56,60,14,11.99,few clouds
24,Klaksvik,FO,62.2266,-6.589,49.12,82,77,11.48,broken clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,80.56,80,69,7.61,broken clouds
26,Gizo,SB,-8.103,156.8419,81.72,76,100,6.26,overcast clouds
27,Vaini,TO,-21.2,-175.2,78.96,94,75,9.22,broken clouds
28,Fukue,JP,32.6881,128.8419,60.58,50,100,17.81,overcast clouds
29,Vostok,RU,46.4856,135.8833,28.49,88,100,2.55,overcast clouds
30,Tuatapere,NZ,-46.1333,167.6833,48.06,93,37,5.55,scattered clouds
31,Valparaiso,CL,-33.0393,-71.6273,70.03,58,0,11.5,clear sky
32,Praia,CV,14.9215,-23.5087,82.94,51,20,16.11,few clouds
33,Punta Arenas,CL,-53.15,-70.9167,48.11,87,85,6.11,overcast clouds
34,Avarua,CK,-21.2078,-159.775,71.65,100,100,1.14,overcast clouds
35,Salalah,OM,17.0151,54.0924,86.09,79,20,5.75,few clouds
36,Katsuura,JP,35.1333,140.3,53.82,88,100,16.78,light rain
37,Ushuaia,AR,-54.8,-68.3,46.06,76,75,20.71,broken clouds
38,Mar Del Plata,AR,-38.0023,-57.5575,55.42,69,75,14.0,light rain
39,Sitka,US,57.0531,-135.33,48.09,61,100,17.27,overcast clouds
40,Longyearbyen,SJ,78.2186,15.6401,15.64,57,75,8.05,broken clouds
41,Coahuayana,MX,18.7333,-103.6833,89.33,25,100,6.22,overcast clouds
42,Srandakan,ID,-7.9386,110.2506,78.17,89,91,5.12,overcast clouds
43,Myingyan,MM,21.4667,95.3833,93.42,39,10,2.95,clear sky
44,Butaritari,KI,3.0707,172.7902,80.87,79,95,11.5,light rain
45,Dolores,AR,-36.3132,-57.6792,61.18,49,0,11.48,clear sky
46,Khatanga,RU,71.9667,102.5,17.01,95,98,11.68,overcast clouds
47,Jacareacanga,BR,-6.2222,-57.7528,90.1,53,7,2.98,clear sky
48,Hobart,AU,-42.8794,147.3294,60.26,77,91,5.75,overcast clouds
49,Pavlogradka,RU,54.2024,73.5592,51.94,57,97,11.32,overcast clouds
50,Tutoia,BR,-2.7619,-42.2744,81.72,83,88,4.12,overcast clouds
51,Hilo,US,19.7297,-155.09,73.27,94,100,13.8,moderate rain
52,Culebra,PR,18.303,-65.301,82.44,93,100,8.99,overcast clouds
53,Aksarka,RU,66.5606,67.7975,12.02,90,29,5.95,scattered clouds
54,Jurado,CO,7.1053,-77.7641,83.19,79,97,8.97,light rain
55,Ponta Delgada,PT,37.7333,-25.6667,65.12,77,75,4.61,broken clouds
56,Tuktoyaktuk,CA,69.4541,-133.0374,28.71,93,99,12.17,overcast clouds
57,Glendive,US,47.1053,-104.7125,55.49,44,0,16.11,clear sky
58,Iwaki,JP,37.05,140.8833,49.01,88,86,3.0,overcast clouds
59,Busselton,AU,-33.65,115.3333,57.2,84,9,2.64,clear sky
60,Barrow,US,71.2906,-156.7887,21.22,86,100,13.8,overcast clouds
61,Kodiak,US,57.79,-152.4072,40.51,81,100,17.27,light rain
62,Cidreira,BR,-30.1811,-50.2056,64.2,86,100,7.4,overcast clouds
63,Hamilton,US,39.1834,-84.5333,75.29,47,0,20.71,clear sky
64,Riberalta,BO,-10.9833,-66.1,89.8,58,40,5.75,scattered clouds
65,Satipo,PE,-11.2522,-74.6386,85.05,55,51,3.24,broken clouds
66,Bengkulu,ID,-3.8004,102.2655,76.75,90,100,4.03,overcast clouds
67,Sobradinho,BR,-12.8333,-39.1,80.4,65,100,6.06,overcast clouds
68,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,86,75,0.0,broken clouds
69,Honningsvag,NO,70.9821,25.9704,28.15,80,75,8.05,broken clouds
70,Grinnell,US,41.743,-92.7224,48.18,80,100,19.57,overcast clouds
71,Zyryanovsk,KZ,49.7386,84.2719,57.42,46,66,3.98,broken clouds
72,Oranjestad,AW,12.524,-70.027,80.47,88,100,22.3,overcast clouds
73,Kapaa,US,22.0752,-159.319,74.12,85,20,21.85,few clouds
74,Talcahuano,CL,-36.7167,-73.1167,58.68,67,0,14.97,clear sky
75,Necochea,AR,-38.5473,-58.7368,53.8,65,95,12.86,overcast clouds
76,Bredasdorp,ZA,-34.5322,20.0403,58.39,90,0,5.26,clear sky
77,Caravelas,BR,-17.7125,-39.2481,83.14,58,0,8.21,clear sky
78,Oranjemund,NA,-28.55,16.4333,64.29,48,0,12.95,clear sky
79,Victoria,HK,22.2855,114.1577,65.25,92,100,5.99,moderate rain
80,Khor,RU,47.8861,134.9464,36.82,84,100,6.42,overcast clouds
81,Mataura,NZ,-46.1927,168.8643,44.47,98,26,2.57,scattered clouds
82,Hofn,IS,64.2539,-15.2082,39.7,86,51,13.18,broken clouds
83,Baykit,RU,61.67,96.37,20.75,93,5,2.71,clear sky
84,Puerto Madero,MX,14.7208,-92.4215,89.8,62,75,0.0,broken clouds
85,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,73,0,13.8,clear sky
86,Lubana,LV,56.9,26.7167,46.98,67,100,2.91,overcast clouds
87,Coihaique,CL,-45.5752,-72.0662,54.21,71,75,0.0,broken clouds
88,Komsomolskiy,UZ,40.4272,71.7189,75.92,33,99,9.22,overcast clouds
89,Saint-Francois,FR,46.4154,3.9054,63.84,45,0,6.91,clear sky
90,Sinnamary,GF,5.3833,-52.95,82.81,69,54,13.29,broken clouds
91,Tura,IN,25.5198,90.2201,70.38,96,44,5.53,scattered clouds
92,Aklavik,CA,68.2191,-135.0107,39.2,65,20,10.36,few clouds
93,Ribeira Grande,PT,38.5167,-28.7,64.8,82,75,4.61,broken clouds
94,Banda Aceh,ID,5.5577,95.3222,81.03,80,97,14.61,overcast clouds
95,Irtyshskiy,RU,58.3333,68.1333,41.38,55,94,6.96,overcast clouds
96,Atambua,ID,-9.1061,124.8925,72.52,89,56,5.03,broken clouds
97,Kandrian,PG,-6.2167,149.55,77.09,87,28,3.94,light rain
98,Nara,JP,34.6851,135.8049,50.5,68,93,3.24,overcast clouds
99,Portland,US,45.5234,-122.6762,56.44,85,100,1.01,overcast clouds
100,Tarimoro,MX,20.2833,-100.75,83.59,15,32,3.24,scattered clouds
101,Kaitangata,NZ,-46.2817,169.8464,48.94,95,23,4.23,few clouds
102,Labrea,BR,-7.2586,-64.7981,94.42,44,32,1.32,scattered clouds
103,Port Hedland,AU,-20.3167,118.5667,77.05,61,91,5.75,overcast clouds
104,Noumea,NC,-22.2763,166.4572,77.0,99,81,11.72,broken clouds
105,Vuktyl,RU,63.8567,57.3094,28.33,86,91,1.36,overcast clouds
106,Nanortalik,GL,60.1432,-45.2371,38.66,85,98,8.3,overcast clouds
107,Mehamn,NO,71.0357,27.8492,28.35,74,75,3.44,broken clouds
108,San Ramon,US,37.7799,-121.978,64.92,60,0,9.22,clear sky
109,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,58.03,96,98,5.79,overcast clouds
110,Jibuti,DJ,11.5,42.5,81.5,62,12,10.74,few clouds
111,Melfort,CA,52.8667,-104.6177,35.73,80,100,8.05,overcast clouds
112,Prince Rupert,CA,54.3161,-130.3201,48.29,76,100,20.71,light rain
113,Mahebourg,MU,-20.4081,57.7,75.49,88,75,3.44,broken clouds
114,Road Town,VG,18.4167,-64.6167,80.69,89,40,9.22,scattered clouds
115,Cockburn Town,TC,21.4612,-71.1419,80.56,65,40,19.57,scattered clouds
116,Hualmay,PE,-11.0964,-77.6139,70.03,75,18,7.65,few clouds
117,Buchanan,LR,5.8808,-10.0467,84.33,73,99,7.11,overcast clouds
118,Cardoso,BR,-20.0819,-49.9142,90.21,24,2,6.4,clear sky
119,Lebu,CL,-37.6167,-73.65,55.36,74,100,15.39,overcast clouds
120,Torbay,CA,47.6666,-52.7314,54.88,79,75,5.01,broken clouds
121,Paramonga,PE,-10.6667,-77.8333,69.6,77,29,8.03,scattered clouds
122,Karema,TZ,-6.8205,30.4389,73.22,81,46,4.59,scattered clouds
123,Cape Town,ZA,-33.9258,18.4232,64.11,73,0,13.0,clear sky
124,Talnakh,RU,69.4865,88.3972,20.21,91,100,7.23,overcast clouds
125,Manbij,SY,36.5281,37.9549,61.81,86,66,17.85,broken clouds
126,Esperance,AU,-33.8667,121.9,59.45,68,0,4.54,clear sky
127,Mogadishu,SO,2.0371,45.3438,83.88,75,87,13.62,overcast clouds
128,Ust-Tsilma,RU,65.441,52.1498,27.95,96,99,3.98,light snow
129,Urupes,BR,-21.2017,-49.29,90.73,32,9,7.07,clear sky
130,Campo Verde,BR,-20.4167,-54.0667,86.68,35,41,8.48,scattered clouds
131,Jamestown,US,42.097,-79.2353,54.72,89,100,14.97,moderate rain
132,Alyangula,AU,-13.8483,136.4192,79.11,68,54,9.64,broken clouds
133,Okhotsk,RU,59.3833,143.3,31.93,90,43,2.48,scattered clouds
134,Muisne,EC,0.6,-80.0333,80.98,71,98,8.05,overcast clouds
135,Cap Malheureux,MU,-19.9842,57.6142,75.47,81,6,1.99,clear sky
136,Chapaevsk,RU,52.9813,49.7112,40.98,53,22,7.2,few clouds
137,Yumen,CN,40.2833,97.2,52.18,15,0,10.0,clear sky
138,Tasiilaq,GL,65.6145,-37.6368,32.16,64,96,11.01,overcast clouds
139,Arcata,US,40.8665,-124.0828,59.2,73,0,5.75,clear sky
140,Kawhia,NZ,-38.0651,174.8183,54.52,92,44,5.32,scattered clouds
141,Barcelos,PT,41.5388,-8.6151,62.85,66,29,12.68,scattered clouds
142,Westport,US,41.1415,-73.3579,72.28,39,0,9.22,clear sky
143,Beira,MZ,-19.8436,34.8389,78.89,73,20,9.22,few clouds
144,Lorengau,PG,-2.0226,147.2712,81.25,76,8,4.29,clear sky
145,San Quintin,MX,30.4833,-115.95,64.33,70,29,8.23,scattered clouds
146,Saint Anthony,US,45.0205,-93.218,47.35,89,100,12.66,overcast clouds
147,Dikson,RU,73.5069,80.5464,9.79,98,57,10.67,broken clouds
148,Kieta,PG,-6.2167,155.6333,78.33,85,94,2.35,overcast clouds
149,Abnub,EG,27.2696,31.1511,85.82,15,2,7.87,clear sky
150,Tiksi,RU,71.6872,128.8694,16.74,91,88,13.89,overcast clouds
151,Cabo San Lucas,MX,22.8909,-109.9124,83.5,57,84,3.0,broken clouds
152,Castro,BR,-24.7911,-50.0119,72.93,65,19,8.88,few clouds
153,Namatanai,PG,-3.6667,152.4333,78.93,81,59,2.01,broken clouds
154,Meulaboh,ID,4.1363,96.1285,77.68,87,100,3.31,overcast clouds
155,Plettenberg Bay,ZA,-34.0527,23.3716,58.59,85,2,0.83,clear sky
156,Lloydminster,CA,53.2835,-110.0016,46.62,57,100,14.97,overcast clouds
157,Cayenne,GF,4.9333,-52.3333,86.04,42,0,17.27,clear sky
158,Mabaruma,GY,8.2,-59.7833,87.08,53,85,8.34,overcast clouds
159,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,3.44,broken clouds
160,Hami,CN,42.8,93.45,65.57,10,6,7.02,clear sky
161,Puerto Leguizamo,CO,-0.1934,-74.7819,88.68,50,60,1.41,broken clouds
162,Port Elizabeth,ZA,-33.918,25.5701,64.31,85,20,12.66,few clouds
163,Maua,BR,-23.6678,-46.4614,85.06,47,43,10.45,scattered clouds
164,Byron Bay,AU,-28.65,153.6167,64.29,79,95,12.93,overcast clouds
165,Mount Gambier,AU,-37.8333,140.7667,58.91,94,100,9.22,overcast clouds
166,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,92.34,37,39,6.22,scattered clouds
167,Ishigaki,JP,24.3448,124.1572,68.13,94,100,11.5,light rain
168,Salcininkai,LT,54.3,25.3833,53.69,68,100,3.85,overcast clouds
169,Grand Forks,US,47.9417,-97.4337,39.13,87,100,26.46,overcast clouds
170,Iskateley,RU,67.6803,53.1512,18.82,92,99,8.97,overcast clouds
171,Port Lincoln,AU,-34.7333,135.8667,59.07,89,0,8.23,clear sky
172,Oksfjord,NO,70.2396,22.3479,37.99,85,100,6.11,overcast clouds
173,Kayerkan,RU,69.3497,87.7602,19.53,85,99,11.74,overcast clouds
174,Georgetown,MY,5.4112,100.3354,84.13,84,20,0.0,few clouds
175,Bilma,NE,18.6853,12.9164,104.02,10,60,5.84,broken clouds
176,Yulara,AU,-25.2406,130.9889,60.64,63,40,8.05,scattered clouds
177,Turukhansk,RU,65.8167,87.9833,29.77,82,100,16.93,overcast clouds
178,Yeniseysk,RU,58.4497,92.1703,35.29,80,100,8.57,overcast clouds
179,Inuvik,CA,68.3499,-133.7218,43.66,52,0,8.05,clear sky
180,Leshukonskoye,RU,64.8989,45.7622,24.94,90,52,3.69,broken clouds
181,Guerrero Negro,MX,27.9769,-114.0611,66.27,62,8,10.67,clear sky
182,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,65,0,16.11,clear sky
183,Vardo,NO,70.3705,31.1107,21.18,79,40,6.91,scattered clouds
184,Dingle,PH,10.9995,122.6711,77.2,81,97,5.73,overcast clouds
185,Del Rio,US,29.3627,-100.8968,77.02,81,100,17.27,overcast clouds
186,Tilichiki,RU,60.4667,166.1,10.29,96,46,7.61,scattered clouds
187,Inverell,AU,-29.7833,151.1167,54.66,92,1,4.97,clear sky
188,Nacala,MZ,-14.5428,40.6728,74.77,78,8,9.53,clear sky
189,Sobolevo,RU,54.4299,31.8996,45.82,71,96,4.56,overcast clouds
190,Karratha,AU,-20.7377,116.8463,82.17,50,98,7.49,overcast clouds
191,Margate,GB,51.3813,1.3862,55.69,67,100,3.0,overcast clouds
192,Baculin,PH,7.4525,126.5842,77.85,88,98,6.64,overcast clouds
193,Muana,BR,-1.5283,-49.2167,78.73,91,97,3.8,overcast clouds
194,Slavonski Brod,HR,45.1603,18.0156,60.53,79,69,10.11,broken clouds
195,Riyadh,SA,24.6877,46.7219,91.54,12,0,11.1,clear sky
196,Yarkovo,RU,57.4028,67.0786,41.23,57,91,8.14,overcast clouds
197,Imari,JP,33.2667,129.8833,58.78,66,100,2.46,overcast clouds
198,Lagoa,PT,39.05,-27.9833,61.97,76,24,1.74,few clouds
199,Bose,IT,45.4612,8.0137,67.84,45,5,4.38,clear sky
200,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
201,Constitucion,CL,-35.3333,-72.4167,59.27,58,1,13.31,clear sky
202,Kununurra,AU,-15.7667,128.7333,85.98,35,9,10.36,clear sky
203,Kruisfontein,ZA,-34.0033,24.7314,58.89,91,3,3.98,clear sky
204,Xichang,CN,27.8964,102.2634,48.4,84,100,4.25,overcast clouds
205,Sao Filipe,CV,14.8961,-24.4956,75.7,71,0,10.02,clear sky
206,Sayyan,YE,15.1718,44.3244,68.54,32,79,11.81,broken clouds
207,Guatire,VE,10.4762,-66.5427,91.04,42,24,5.44,few clouds
208,Asfi,MA,32.2994,-9.2372,68.02,66,2,17.31,clear sky
209,General Pico,AR,-35.6566,-63.7568,65.79,30,0,10.27,clear sky
210,Pokhara,NP,28.2333,83.9833,68.22,67,100,5.19,overcast clouds
211,Gamba,GA,-2.65,10.0,79.03,86,93,7.47,moderate rain
212,Denpasar,ID,-8.65,115.2167,83.86,94,20,9.22,few clouds
213,Norman Wells,CA,65.282,-126.8329,44.64,49,40,19.57,scattered clouds
214,Marsh Harbour,BS,26.5412,-77.0636,75.52,73,40,17.22,light rain
215,Thinadhoo,MV,0.5333,72.9333,85.96,70,66,16.22,broken clouds
216,Gat,IL,31.61,34.7642,67.41,100,2,4.03,clear sky
217,Nassjo,SE,57.6531,14.6968,52.72,35,78,2.35,broken clouds
218,Pedasi,PA,7.5333,-80.0333,82.62,75,98,3.89,overcast clouds
219,Bethel,US,41.3712,-73.414,70.18,35,0,4.61,clear sky
220,Biak,ID,-0.9131,122.8766,76.73,87,80,5.39,broken clouds
221,Ihosy,MG,-22.4,46.1167,62.71,77,0,3.76,clear sky
222,Krasnovishersk,RU,60.4078,57.082,24.31,96,93,2.19,overcast clouds
223,Bagan,RU,54.1001,77.6646,57.87,63,100,10.38,overcast clouds
224,Severo-Kurilsk,RU,50.6789,156.125,33.26,86,75,11.16,broken clouds
